Date;Type;Value;Note;ISIN;Shares;Fees;Taxes;ISIN2;Shares2
2026-06-22T08:44:35;Deposit;4500.0;Simon Jakob Bader;;;;;;
2026-06-23T12:10:17;Buy;-101.0;Apple;US0378331005;0.386772;1.0;;;
